coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed May 19 14:42:01 +0000 2021,,,,0,1395026963165761537,,,,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@KsenzuDwa bitcoin jebać i się nie bać
altcoiny baza",https://twitter.com/TrollerOfPolska/status/1395026963165761537,Sat Oct 03 11:40:49 +0000 2020,1312356897496928256,false,"silly little boyo doing silly little things :3

this user is an autistic leftist, (true) libertarian and a bit of a fag ngl",61809,311,109,3,ISLAMSKI EMIRAT ŚLĄSKA,️,TrollerOfPolska,24534,,,false
,Wed May 19 13:40:58 +0000 2021,,,,3,1395011601531555841,t_dzialowy,1395008058548494338,918505673973002200,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@t_dzialowy Może karty graficzne uda się kupić jak Bitcoin nie wstanie a górnicy będą sprzedawać niepotrzebne im już karty. 🤔,https://twitter.com/Dezezer1/status/1395011601531555841,Sun Sep 20 06:58:16 +0000 2020,1307574729134559238,false,Lubię jeść,2303,1,52,0,"Sosnowiec, Polska",dezezer,Dezezer1,26,,,false
,Wed May 19 14:31:19 +0000 2021,bizblog,,https://spidersweb.pl/bizblog/bitcoin-wartosc-spadki-chinski-bank-centralny/,0,1395024270342950912,,,,pl,,false,,0,,,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","Strach patrzeć na wykres bitcoina, kurs runął o jedną trzecią, na rynku panika
https://t.co/5X7WeiijoQ #bizblog",https://twitter.com/BizblogPl/status/1395024270342950912,Mon Jun 22 07:35:37 +0000 2020,1274969033872486400,false,"BIZNES. FINANSE. TROCHĘ TECHNOLOGII. POWERED BY SPIDER'S WEB.
#bizblog",248,914,82,13,,Bizblog.pl,BizblogPl,8616,,http://www.bizblog.pl,false
,Wed May 19 13:48:46 +0000 2021,BTC alejebło,https://twitter.com/MakrelG/status/1395004273457573889/photo/1,,0,1395013563199201282,,,,pl,,false,,3,1395004273457573889,MakrelG,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bitcoin poniżej 30 tys. $
#BTC #alejebło https://t.co/KiGJJDC8DF",https://twitter.com/5tek13tego/status/1395013563199201282,Thu Aug 06 13:28:13 +0000 2020,1291365337586335745,false,#btc & friends ...,1383,160,138,2,,"Friday, 13th",5tek13tego,2323,,,false
,Wed May 19 14:15:08 +0000 2021,,https://twitter.com/PawelMalik_GG/status/1395011099020378121/photo/1,,0,1395020199045345280,,,,pl,,false,,5,1395011099020378121,PawelMalik_GG,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Bitcoin realizuje formację stegozaura. https://t.co/u3HN00XUqE,https://twitter.com/mkuzma0/status/1395020199045345280,Sat Apr 10 22:09:25 +0000 2010,131639672,false,"Experienced esports, gaming and TV production project manager. 
Professional photographer of my beautiful cat 📸",11747,888,420,4,,Marcin Kuźma,mkuzma0,2767,,,false
,Wed May 19 13:47:24 +0000 2021,BTC Bitcoin,,https://twitter.com/btc_alert/status/1395012670886223874,0,1395013221287960576,,,,pl,,false,1395012670886223874,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Co się dziś dzieje na #BTC to jest naprawdę ciekawe. #Bitcoin https://t.co/NV1Ele23y7,https://twitter.com/Kubalessini/status/1395013221287960576,Mon Feb 24 18:13:04 +0000 2014,2359858788,false,"Konserwatysta, z rolniczej rodziny. Lubię historię, zwłaszcza pow. sieradzkiego. Student PŁ. 
#JestRolnikJestŻywność #RolniczeLobby",8736,558,1617,5,Klonowa/Łódź,🇵🇱 Kubalessini 🇵🇱 ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,Kubalessini,11110,,https://www.mpolska24.pl/blog/jakub-j,false
,Wed May 19 14:08:36 +0000 2021,,,,1,1395018556341989386,Baronowa_Kat,1395011719286738947,742717736296587300,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kat_krzeszowska Staśko
Włodek
Razem
Bitcoin
Taka kolejność 🤭",https://twitter.com/mobrzydowicz/status/1395018556341989386,Thu Jan 24 07:54:47 +0000 2019,1088344346099937282,false,bez żadnego trybu #PADisBAD #MHL,240631,5013,3387,7,"Wolanów, Polska",marek_o 🇵🇱🇪🇺 ☕🚬,mobrzydowicz,38316,,,false
,Wed May 19 14:32:43 +0000 2021,,,https://edition.cnn.com/2021/05/19/investing/bitcoin-price-drop-china-crypto-intl-hnk/index.html,1,1395024626137276418,luigiluib,1394947619802296320,92253934,pl,,false,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@luigiluib Ależ była dzisiaj rzeź
Spadki 30-45%
Mnóstwo nowicjuszy pewnie nie podniesie się przez długi czas
Pewnie wielu zbankrutowało
CNN twierdzi że to sprawą komunikatu Chin...
https://t.co/KSkaUduvEz",https://twitter.com/r_zalski/status/1395024626137276418,Sun Sep 16 06:58:10 +0000 2018,1041219674451501056,false,"Host of:
🎥 YT channel📺: Studio Asia      
        🎤National radio podcast📻: Studio Taipei",47151,1546,166,9,"Taipei City, Taiwan",ꜱᴛᴜᴅɪᴏ ᴀꜱɪᴀ,r_zalski,10274,,https://www.youtube.com/@studio_asia,false
,Wed May 19 13:56:15 +0000 2021,elonmusk btc bitcoin,,https://android.com.pl/artykuly/407065-elon-musk-btc-bitcoin-krach-tesla-zalamanie-kryptowaluty/,1,1395015447695826949,,,,pl,,false,,2,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Ale KRACH na BTC! Takiej wyprzedaży chyba nikt się nie spodziewał!

Od: @adam_lulek

https://t.co/F2koulbWbS

#elonmusk #btc #bitcoin",https://twitter.com/android_polska/status/1395015447695826949,Mon Feb 15 18:33:08 +0000 2010,114528129,false,społeczność entuzjastów technologii,978,269171,143,275,Polska,android.com.pl,android_polska,39382,,http://android.com.pl,false
,Wed May 19 13:41:14 +0000 2021,kryptowaluty inwestycje bitcoin btc blockchain,,,0,1395011669458399234,,,,pl,,,,19,1394994279999803395,PhilKonieczny,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Szukam pracy. Czy wie ktoś czy McDonald rekrutuje?
#kryptowaluty #inwestycje #bitcoin #btc #blockchain https://t.co/PwNUUxpqQS",https://twitter.com/03martyna_/status/1395011669458399234,Sat Jun 13 12:08:01 +0000 2020,1271776249149624321,false,,1154,28,569,8,,martyna🐥,03martyna_,281,,,false
